"series","date","issue","url","volume","value","is_clean"
"virginia_6pct","1856-02-08","1856-02-23","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA750",10,94.5,0
"california_7pct_1870","1856-02-13","1857-03-24","http://books.google.com/books?id=MlkmAQAAIAAJ&pg=PA831",11,66.5,0
"georgia_6pct","1856-02-13","1857-03-24","http://books.google.com/books?id=MlkmAQAAIAAJ&pg=PA831",11,95,0
"indiana_5pct","1856-02-13","1857-03-24","http://books.google.com/books?id=MlkmAQAAIAAJ&pg=PA831",11,86,0
"kentucky_6pct","1856-02-13","1857-03-24","http://books.google.com/books?id=MlkmAQAAIAAJ&pg=PA831",11,102.75,0
"louisiana_6pct","1856-02-13","1857-03-24","http://books.google.com/books?id=MlkmAQAAIAAJ&pg=PA831",11,85,0
"missouri_6pct","1856-02-13","1857-03-24","http://books.google.com/books?id=MlkmAQAAIAAJ&pg=PA831",11,83.25,0
"north_carolina_6pct","1856-02-13","1857-03-24","http://books.google.com/books?id=MlkmAQAAIAAJ&pg=PA831",11,94,0
"ohio_6pct_1874","1856-02-13","1857-03-24","http://books.google.com/books?id=MlkmAQAAIAAJ&pg=PA831",11,107,0
"pennsylvania_6pct","1856-02-13","1857-03-24","http://books.google.com/books?id=MlkmAQAAIAAJ&pg=PA831",11,85.5,0
"US_6pct_1868","1856-02-13","1857-03-24","http://books.google.com/books?id=MlkmAQAAIAAJ&pg=PA831",11,117,0
"virginia_6pct","1856-02-13","1857-03-24","http://books.google.com/books?id=MlkmAQAAIAAJ&pg=PA831",11,92.25,0
"california_7pct_1870","1856-02-15","1856-02-23","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA750",10,89,0
"georgia_6pct","1856-02-15","1856-02-23","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA750",10,98,0
"indiana_5pct","1856-02-15","1856-02-23","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA750",10,84,0
"kentucky_6pct","1856-02-15","1856-02-23","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA750",10,101,0
"louisiana_6pct","1856-02-15","1856-02-23","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA750",10,90.5,0
"missouri_6pct","1856-02-15","1856-02-23","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA750",10,87,0
"north_carolina_6pct","1856-02-15","1856-02-23","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA750",10,98,0
"ohio_6pct_1874","1856-02-15","1856-02-23","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA750",10,110,0
